,Municipality,Type[1],County[2],Form of government[1],Population (2020)[2],Total area,,,Year established[3]
192,Monterey,Town,Berkshire,Open town meeting,1095,27.4 sq mi ,70.97 km2),,1847
193,Montgomery,Town,Hampden,Open town meeting,819,15.2 sq mi ,39.37 km2),,1780
194,Mount Washington,Town,Berkshire,Open town meeting,160,22.4 sq mi ,58.02 km2),,1779
195,Nahant,Town,Essex,Open town meeting,3334,15.5 sq mi ,40.14 km2),,1853
196,Nantucket,Town,Nantucket (seat),Open town meeting,14255,105.3 sq mi ,272.73 km2),,1671
197,Natick,Town,Middlesex,Representative town meeting,37006,16.1 sq mi ,41.70 km2),,1781
198,Needham,Town,Norfolk,Representative town meeting,32091,12.7 sq mi ,32.89 km2),,1711
199,New Ashford,Town,Berkshire,Open town meeting,250,13.5 sq mi ,34.96 km2),,1835
200,New Bedford,City,Bristol,Mayor-Council,101079,24.1 sq mi ,62.42 km2),,1787
201,New Braintree,Town,Worcester,Open town meeting,996,20.9 sq mi ,54.13 km2),,1775
202,New Marlborough,Town,Berkshire,Open town meeting,1528,47.9 sq mi ,124.06 km2),,1775
203,New Salem,Town,Franklin,Open town meeting,983,58.6 sq mi ,151.77 km2),,1775
204,Newbury,Town,Essex,Open town meeting,6716,26.3 sq mi ,68.12 km2),,1635
205,Newburyport,City,Essex,Mayor-Council,18289,10.7 sq mi ,27.71 km2),,1764
206,Newton,City,Middlesex,Mayor-Council[7],88923,18.2 sq mi ,47.14 km2),,1688
207,Norfolk,Town,Norfolk,Open town meeting,11662,15.2 sq mi ,39.37 km2),,1870
208,North Adams,City,Berkshire,Mayor-Council,12961,20.6 sq mi ,53.35 km2),,1878
209,North Andover,Town,Essex,Open town meeting,30915,27.8 sq mi ,72.00 km2),,1855
210,North Attleborough,City[a],Bristol,Manager-Council,30834,19.1 sq mi ,49.47 km2),,1887
211,North Brookfield,Town,Worcester,Open town meeting,4735,21.7 sq mi ,56.20 km2),,1812
212,North Reading,Town,Middlesex,Open town meeting,15554,13.5 sq mi ,34.96 km2),,1853
213,Northampton,City,Hampshire (seat),Mayor-Council,29571,35.8 sq mi ,92.72 km2),,1656
214,Northborough,Town,Worcester,Open town meeting,15741,18.8 sq mi ,48.69 km2),,1775
215,Northbridge,Town,Worcester,Open town meeting,16335,18.1 sq mi ,46.88 km2),,1775
216,Northfield,Town,Franklin,Open town meeting,2866,35.4 sq mi ,91.69 km2),,1723
217,Norton,Town,Bristol,Open town meeting,19202,29.8 sq mi ,77.18 km2),,1711
218,Norwell,Town,Plymouth,Open town meeting,11351,21.2 sq mi ,54.91 km2),,1849
219,Norwood,Town,Norfolk,Representative town meeting,31611,10.6 sq mi ,27.45 km2),,1872
220,Oak Bluffs,Town,Dukes,Open town meeting,5341,26.0 sq mi ,67.34 km2),,1880
221,Oakham,Town,Worcester,Open town meeting,1851,21.5 sq mi ,55.68 km2),,1775
222,Orange,Town,Franklin,Open town meeting,7569,36.0 sq mi ,93.24 km2),,1810
223,Orleans,Town,Barnstable,Open town meeting,6307,22.7 sq mi ,58.79 km2),,1797
224,Otis,Town,Berkshire,Open town meeting,1634,38.0 sq mi ,98.42 km2),,1773
225,Oxford,Town,Worcester,Open town meeting,13347,27.5 sq mi ,71.22 km2),,1713
226,Palmer,City[a],Hampden,Manager-Council,12448,32.0 sq mi ,82.88 km2),,1775
227,Paxton,Town,Worcester,Open town meeting,5004,15.5 sq mi ,40.14 km2),,1775
228,Peabody,City,Essex,Mayor-Council,54481,16.8 sq mi ,43.51 km2),,1868
229,Pelham,Town,Hampshire,Open town meeting,1280,26.5 sq mi ,68.63 km2),,1743
230,Pembroke,Town,Plymouth,Open town meeting,18361,23.5 sq mi ,60.86 km2),,1712
231,Pepperell,Town,Middlesex,Open town meeting,11604,23.2 sq mi ,60.09 km2),,1775
232,Peru,Town,Berkshire,Open town meeting,814,26.0 sq mi ,67.34 km2),,1771
233,Petersham,Town,Worcester,Open town meeting,1194,68.3 sq mi ,176.90 km2),,1754
234,Phillipston,Town,Worcester,Open town meeting,1726,24.6 sq mi ,63.71 km2),,1786
235,Pittsfield,City,Berkshire (seat),Mayor-Council,43927,42.5 sq mi ,110.07 km2),,1761
236,Plainfield,Town,Hampshire,Open town meeting,633,21.3 sq mi ,55.17 km2),,1807
237,Plainville,Town,Norfolk,Open town meeting,9945,11.5 sq mi ,29.78 km2),,1905
238,Plymouth,Town,Plymouth (seat),Representative town meeting,61217,134.0 sq mi ,347.06 km2),,1620
239,Plympton,Town,Plymouth,Open town meeting,2930,15.1 sq mi ,39.11 km2),,1707
240,Princeton,Town,Worcester,Open town meeting,3495,35.8 sq mi ,92.72 km2),,1771
241,Provincetown,Town,Barnstable,Open town meeting,3664,17.5 sq mi ,45.32 km2),,1727
242,Quincy,City,Norfolk,Mayor-Council,101636,26.9 sq mi ,69.67 km2),,1792
243,Randolph,City[a],Norfolk,Manager-Council,34984,10.5 sq mi ,27.19 km2),,1793
244,Raynham,Town,Bristol,Open town meeting,15142,20.9 sq mi ,54.13 km2),,1731
245,Reading,Town,Middlesex,Representative town meeting,25518,9.9 sq mi ,25.64 km2),,1644
246,Rehoboth,Town,Bristol,Open town meeting,12502,46.8 sq mi ,121.21 km2),,1645
247,Revere,City,Suffolk,Mayor-Council,62186,10.1 sq mi ,26.16 km2),,1846
248,Richmond,Town,Berkshire,Open town meeting,1407,19.0 sq mi ,49.21 km2),,1765
249,Rochester,Town,Plymouth,Open town meeting,5717,36.4 sq mi ,94.28 km2),,1686
250,Rockland,Town,Plymouth,Open town meeting,17803,10.1 sq mi ,26.16 km2),,1874
251,Rockport,Town,Essex,Open town meeting,6992,17.5 sq mi ,45.32 km2),,1840
252,Rowe,Town,Franklin,Open town meeting,424,24.0 sq mi ,62.16 km2),,1785
253,Rowley,Town,Essex,Open town meeting,6161,20.3 sq mi ,52.58 km2),,1639
254,Royalston,Town,Worcester,Open town meeting,1250,42.5 sq mi ,110.07 km2),,1765
255,Russell,Town,Hampden,Open town meeting,1643,17.8 sq mi ,46.10 km2),,1792
256,Rutland,Town,Worcester,Open town meeting,9049,36.4 sq mi ,94.28 km2),,1713
257,Salem,City,Essex (seat),Mayor-Council,44480,18.3 sq mi ,47.40 km2),,1626
258,Salisbury,Town,Essex,Open town meeting,9236,17.9 sq mi ,46.36 km2),,1639
259,Sandisfield,Town,Berkshire,Open town meeting,989,53.0 sq mi ,137.27 km2),,1762
260,Sandwich,Town,Barnstable,Open town meeting,20259,44.2 sq mi ,114.48 km2),,1638
261,Saugus,Town,Essex,Representative town meeting,28619,11.8 sq mi ,30.56 km2),,1815
262,Savoy,Town,Berkshire,Open town meeting,645,36.0 sq mi ,93.24 km2),,1797
263,Scituate,Town,Plymouth,Open town meeting,19063,31.8 sq mi ,82.36 km2),,1636
264,Seekonk,Town,Bristol,Open town meeting,15531,18.3 sq mi ,47.40 km2),,1812
265,Sharon,Town,Norfolk,Open town meeting,18575,24.2 sq mi ,62.68 km2),,1775
266,Sheffield,Town,Berkshire,Open town meeting,3327,48.6 sq mi ,125.87 km2),,1733
267,Shelburne,Town,Franklin,Open town meeting,1884,23.4 sq mi ,60.61 km2),,1775
268,Sherborn,Town,Middlesex,Open town meeting,4401,16.2 sq mi ,41.96 km2),,1674
269,Shirley,Town,Middlesex,Open town meeting,7431,15.9 sq mi ,41.18 km2),,1775
270,Shrewsbury,Town,Worcester,Representative town meeting,38325,21.7 sq mi ,56.20 km2),,1727
271,Shutesbury,Town,Franklin,Open town meeting,1717,27.2 sq mi ,70.45 km2),,1761
272,Somerset,Town,Bristol,Open town meeting,18303,12.0 sq mi ,31.08 km2),,1790
273,Somerville,City,Middlesex,Mayor-Council,81045,4.2 sq mi ,10.88 km2),,1842
274,South Hadley,Town,Hampshire,Representative town meeting,18150,18.4 sq mi ,47.66 km2),,1775
275,Southampton,Town,Hampshire,Open town meeting,6224,29.1 sq mi ,75.37 km2),,1775
276,Southborough,Town,Worcester,Open town meeting,10450,15.7 sq mi ,40.66 km2),,1727
277,Southbridge,City[a],Worcester,Manager-Council,17740,20.9 sq mi ,54.13 km2),,1816
278,Southwick,Town,Hampden,Open town meeting,9232,31.7 sq mi ,82.10 km2),,1775
279,Spencer,Town,Worcester,Open town meeting,11992,34.1 sq mi ,88.32 km2),,1775
280,Springfield,City,Hampden (seat),Mayor-Council,155929,33.1 sq mi ,85.73 km2),,1636
281,Sterling,Town,Worcester,Open town meeting,7985,31.6 sq mi ,81.84 km2),,1781
282,Stockbridge,Town,Berkshire,Open town meeting,2018,23.7 sq mi ,61.38 km2),,1739
283,Stoneham,Town,Middlesex,Open town meeting,23244,6.7 sq mi ,17.35 km2),,1725
284,Stoughton,Town,Norfolk,Representative town meeting,29281,16.3 sq mi ,42.22 km2),,1726
285,Stow,Town,Middlesex,Open town meeting,7174,18.1 sq mi ,46.88 km2),,1683
286,Sturbridge,Town,Worcester,Open town meeting,9867,39.0 sq mi ,101.01 km2),,1738
287,Sudbury,Town,Middlesex,Open town meeting,18934,24.6 sq mi ,63.71 km2),,1639
288,Sunderland,Town,Franklin,Open town meeting,3663,14.7 sq mi ,38.07 km2),,1714
289,Sutton,Town,Worcester,Open town meeting,9357,33.9 sq mi ,87.80 km2),,1714
290,Swampscott,Town,Essex,Representative town meeting,15111,6.7 sq mi ,17.35 km2),,1852
291,Swansea,Town,Bristol,Open town meeting,17144,25.5 sq mi ,66.04 km2),,1667
